CH/C=O,CH/C-O-C,C=O/C-O-C,OMcat/C-O-C,SOC stock,SOC,pH,Clay,Silt,Sand,Skeleton,Elevation,Altitude difference,Downslope Distance Gradient,Slope,SAGA Wetness Index,Terrain Ruggedness Index,Flow accumulation,Stream Power Index,VDCN,CNBL,Profile curvature,Tangential curvature,General curvature,Total curvature,Aspect,Area,Length,Width,Coniferous forests,Beech forests,"Oak, hornbeam and chestnuts forests",Riparian vegetation,Cultivated fields,Anthropic areas,Bare surfaces / rocky outcrops,Sparce vegetation / in evolution,Meadows,Bushes and shrubs,Silicified Calcilutites and Silty Clays,Clays and Shales,Carbonate Turbidites,Ophiolitic/Sedimentary Breccias and Olistolites,Arenaceous-Pelitic Turbidites
0.067,0.021,0.306,0.994,75.662,1.965,7.477,29.868,45.299,24.833,18.257,628.437,279.838,82.657,15.475,6.479,0.367,769097.438,237.672,277.214,351.186,-0.000022,-0.000015,-0.000072,0.000038,222.230,2799250,2903,1452,0.078,0.000,0.698,0.000,0.089,0.056,0.000,0.000,0.007,0.072,0.172,0.014,0.389,0.000,0.425
0.075,0.052,0.689,2.012,73.300,1.908,6.916,33.719,43.296,22.984,14.312,682.990,337.395,131.714,16.270,6.637,0.394,1248393.125,267.208,319.658,363.157,-0.000039,0.000039,0.000016,0.000075,192.353,3029275,3110,1591,0.000,0.000,0.720,0.000,0.143,0.083,0.000,0.000,0.022,0.032,0.000,0.000,1.000,0.000,0.000
0.026,0.006,0.220,0.601,72.268,1.842,7.499,29.961,44.171,25.868,23.489,632.424,286.341,148.587,15.870,6.322,0.378,831661.125,210.804,257.199,375.242,-0.000048,0.000031,-0.000048,0.000047,126.206,2774075,2934,1836,0.289,0.000,0.411,0.003,0.197,0.026,0.000,0.010,0.012,0.051,0.122,0.009,0.838,0.002,0.030
0.056,0.017,0.296,0.708,72.351,1.843,7.496,29.956,44.145,25.899,23.607,636.049,271.623,119.552,15.933,6.311,0.380,1610542.500,200.027,260.545,375.759,-0.000050,0.000035,-0.000044,0.000047,127.406,2731350,2790,1798,0.284,0.000,0.418,0.002,0.199,0.026,0.000,0.010,0.013,0.049,0.113,0.009,0.851,0.002,0.026
0.039,0.013,0.322,1.428,79.566,2.084,7.219,28.787,43.068,28.145,19.151,809.706,457.642,781.308,14.923,6.635,0.357,32423422.000,478.899,199.580,610.145,-0.000066,0.000048,-0.000050,0.000043,162.968,69059125,10430,9325,0.025,0.198,0.454,0.008,0.184,0.041,0.005,0.012,0.034,0.040,0.229,0.051,0.511,0.074,0.135
0.060,0.013,0.224,0.764,80.165,2.094,7.268,28.166,42.784,29.050,20.852,809.785,457.422,805.486,14.922,6.635,0.357,50041040.000,478.789,199.603,610.196,-0.000066,0.000048,-0.000049,0.000043,162.947,69045125,10430,9325,0.025,0.198,0.454,0.008,0.184,0.041,0.005,0.012,0.034,0.040,0.229,0.051,0.511,0.074,0.135
0.074,0.034,0.465,1.655,72.348,1.897,7.084,33.134,42.657,24.209,17.366,731.200,376.560,745.360,17.769,6.431,0.438,584264.938,321.243,321.594,409.529,-0.000071,0.000074,-0.000017,0.000059,135.091,3280500,4072,1762,0.050,0.084,0.539,0.002,0.129,0.042,0.000,0.058,0.008,0.088,0.088,0.052,0.810,0.000,0.050
0.037,0.012,0.325,1.435,80.565,2.104,7.277,27.917,42.790,29.293,21.026,814.038,460.165,780.119,14.784,6.642,0.353,55242876.000,501.780,193.616,620.409,-0.000067,0.000050,-0.000050,0.000042,164.342,65716200,11341,8485,0.024,0.204,0.449,0.008,0.186,0.041,0.006,0.009,0.035,0.038,0.236,0.050,0.496,0.078,0.140
0.054,0.014,0.257,1.222,80.054,2.090,7.260,28.232,42.800,28.968,20.777,806.528,457.941,821.816,14.968,6.636,0.359,48238392.000,476.501,200.588,605.948,-0.000065,0.000047,-0.000049,0.000043,163.070,70259700,10778,9325,0.024,0.194,0.458,0.008,0.183,0.041,0.005,0.012,0.034,0.040,0.225,0.053,0.516,0.073,0.133
0.059,0.021,0.360,0.433,76.114,1.965,6.477,32.677,43.794,23.529,14.844,680.390,326.768,650.925,19.171,6.403,0.468,145898.828,222.055,313.693,365.647,0.000045,-0.000047,-0.000002,0.000047,170.145,922375,2104,849,0.000,0.000,0.888,0.000,0.071,0.026,0.000,0.000,0.012,0.003,0.000,0.004,0.996,0.000,0.000
