CH/C=O,CH/C-O-C,C=O/C-O-C,OMcat/C-O-C,SOC stock,SOC,pH,Clay,Silt,Sand,Skeleton,Elevation,Altitude difference,Downslope Distance Gradient,Slope,SAGA Wetness Index,Terrain Ruggedness Index,Flow accumulation,Stream Power Index,VDCN,CNBL,Profile curvature,Tangential curvature,General curvature,Total curvature,Aspect,Area,Length,Width,Coniferous forests,Beech forests,"Oak, hornbeam and chestnuts forests",Riparian vegetation,Cultivated fields,Anthropic areas,Bare surfaces / rocky outcrops,Sparce vegetation / in evolution,Meadows,Bushes and shrubs,Silicified Calcilutites and Silty Clays,Varicoloured Clays and Shales,Carbonate Turbidites,Ophiolitic/Sedimentary Breccias and Olistolites,Arenaceous-Pelitic Turbidites,,,,,,
0.067,0.021,0.306,0.994,72.352,1.916,7.639,30.047,44.585,25.368,15.671,513.942,165.343,82.657,12.672,8.342,0.295,769097.438,959.164,170.688,342.906,-0.000183,-0.002012,-0.004564,0.000040,199.758,395475,2496,1139,0.076,0.000,0.511,0.000,0.169,0.126,0.000,0.000,0.000,0.117,0.137,0.010,0.543,0.000,0.310,,,,,,
0.075,0.052,0.689,2.012,69.261,1.739,7.686,31.883,43.342,24.774,12.195,479.856,134.260,131.714,13.435,7.935,0.322,1248393.125,1979.675,136.632,344.732,-0.000724,-0.002920,-0.007335,0.000777,216.459,171800,2275,798,0.000,0.000,0.384,0.000,0.393,0.073,0.000,0.000,0.115,0.035,0.000,0.000,1.000,0.000,0.000,,,,,,
0.026,0.006,0.220,0.601,70.794,1.806,7.639,29.861,44.666,25.473,22.325,523.193,177.110,148.587,12.964,8.586,0.305,831661.125,1210.841,161.161,361.848,-0.000145,-0.002623,-0.005752,0.000041,120.390,251175,2883,1243,0.279,0.000,0.167,0.026,0.277,0.018,0.000,0.073,0.015,0.145,0.417,0.000,0.492,0.000,0.091,,,,,,
0.056,0.017,0.296,0.708,70.860,1.802,7.621,29.864,44.540,25.596,22.666,532.900,168.474,119.552,13.040,8.558,0.311,1610542.500,1179.282,170.145,363.315,-0.000012,-0.002746,-0.005769,0.000042,125.368,237025,2696,1243,0.265,0.000,0.177,0.018,0.293,0.017,0.000,0.077,0.016,0.136,0.404,0.000,0.522,0.000,0.074,,,,,,
0.039,0.013,0.322,1.428,77.025,1.999,7.473,28.254,43.069,28.676,22.737,715.571,363.507,781.308,12.486,7.852,0.295,32423422.000,895.282,109.667,605.748,-0.000274,-0.001058,-0.002845,0.000038,154.557,16478100,10304,8253,0.012,0.106,0.373,0.014,0.310,0.061,0.003,0.022,0.046,0.052,0.252,0.030,0.537,0.037,0.145,,,,,,
0.060,0.013,0.224,0.764,77.025,1.999,7.473,28.254,43.069,28.677,22.737,715.592,363.229,805.486,12.486,7.852,0.295,50041040.000,895.331,109.673,605.762,-0.000274,-0.001058,-0.002845,0.000038,154.550,16477200,10304,8253,0.012,0.106,0.373,0.014,0.310,0.061,0.003,0.022,0.046,0.052,0.252,0.030,0.537,0.037,0.145,,,,,,
0.074,0.034,0.465,1.655,62.249,1.724,7.650,31.001,43.076,25.924,21.730,599.223,244.583,745.360,21.303,7.159,0.539,584264.938,1227.460,207.150,389.946,-0.000682,-0.001272,-0.004375,0.000074,145.888,526400,2949,1121,0.049,0.000,0.227,0.012,0.282,0.054,0.000,0.291,0.006,0.079,0.139,0.137,0.696,0.000,0.028,,,,,,
0.037,0.012,0.325,1.435,77.521,2.008,7.467,28.159,43.073,28.768,22.769,719.893,366.020,780.119,12.201,7.875,0.287,55242876.000,840.874,106.458,613.266,-0.000253,0.001054,-0.002784,0.000036,154.686,15930275,10616,7898,0.011,0.110,0.378,0.014,0.311,0.061,0.003,0.013,0.047,0.051,0.256,0.025,0.532,0.038,0.149,,,,,,
0.054,0.014,0.257,1.222,76.958,1.997,7.471,28.274,43.076,28.651,22.704,712.738,364.151,821.816,12.495,7.851,0.295,48238392.000,894.001,109.571,603.003,-0.000275,-0.001055,-0.002841,0.000038,155.158,16662375,10557,8253,0.012,0.105,0.374,0.014,0.311,0.061,0.003,0.022,0.046,0.052,0.250,0.034,0.537,0.036,0.143,,,,,,
0.059,0.021,0.360,0.433,76.031,1.957,6.962,31.267,43.511,25.222,16.712,494.314,140.692,650.925,15.142,7.649,0.359,145898.828,1351.553,141.934,352.539,-0.000434,-0.001128,-0.003327,0.000085,237.422,87900,1631,448,0.000,0.000,0.757,0.000,0.203,0.004,0.000,0.000,0.005,0.031,0.000,0.040,0.960,0.000,0.000,,,,,,
